epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,161.931,0.74221,0.40503,0.91029,0.99495,0.99842,0.99495,0.84366,0.63843,0.30999,0.87895,1.882e-05,1.882e-05,1.882e-05
84,163.877,0.73288,0.39659,0.92794,0.9954,0.99877,0.99495,0.84221,0.64031,0.31092,0.87954,1.783e-05,1.783e-05,1.783e-05
85,165.736,0.71963,0.39805,0.90724,0.99583,0.99935,0.99495,0.84209,0.64073,0.31003,0.87967,1.684e-05,1.684e-05,1.684e-05
86,167.613,0.69896,0.39146,0.89158,0.99603,0.99956,0.99497,0.8426,0.63859,0.30802,0.87916,1.585e-05,1.585e-05,1.585e-05
87,169.483,0.68753,0.37644,0.90517,0.99593,0.99968,0.99495,0.84311,0.63662,0.30819,0.87878,1.486e-05,1.486e-05,1.486e-05
88,171.359,0.71532,0.40063,0.91377,0.99589,0.99796,0.99497,0.84574,0.63151,0.30679,0.87693,1.387e-05,1.387e-05,1.387e-05
89,173.254,0.71129,0.39233,0.90151,0.99596,0.99784,0.99497,0.84531,0.6297,0.30651,0.87645,1.288e-05,1.288e-05,1.288e-05
90,175.114,0.70265,0.38728,0.90396,0.99659,0.9981,0.99495,0.84612,0.629,0.30554,0.8764,1.189e-05,1.189e-05,1.189e-05
91,202.021,0.68583,0.3503,0.90882,0.99479,0.99891,0.99493,0.84469,0.63026,0.30648,0.87701,1.09e-05,1.09e-05,1.09e-05
92,204.052,0.68975,0.34932,0.90938,0.99474,0.99665,0.99492,0.84475,0.63558,0.3102,0.87859,9.91e-06,9.91e-06,9.91e-06
93,205.914,0.69333,0.36539,0.92264,0.99284,0.99673,0.99489,0.84455,0.63638,0.31253,0.87876,8.92e-06,8.92e-06,8.92e-06
94,207.76,0.66742,0.35433,0.8905,0.9926,0.99752,0.99489,0.84488,0.6355,0.31423,0.8785,7.93e-06,7.93e-06,7.93e-06
95,209.666,0.6783,0.35098,0.90521,0.99279,0.99758,0.99487,0.84305,0.63595,0.316,0.87866,6.94e-06,6.94e-06,6.94e-06
96,211.542,0.67528,0.35232,0.90325,0.99271,0.99758,0.99487,0.84395,0.63596,0.31598,0.87908,5.95e-06,5.95e-06,5.95e-06
97,213.392,0.66979,0.34645,0.90658,0.993,0.99756,0.99487,0.84306,0.63611,0.31497,0.87915,4.96e-06,4.96e-06,4.96e-06
98,215.237,0.67282,0.34896,0.91119,0.99329,0.99716,0.99487,0.8445,0.63693,0.31469,0.87943,3.97e-06,3.97e-06,3.97e-06
99,217.051,0.65903,0.34091,0.90004,0.99315,0.99705,0.99489,0.84337,0.63709,0.31227,0.87938,2.98e-06,2.98e-06,2.98e-06
100,218.93,0.67276,0.34054,0.91407,0.99363,0.99648,0.99489,0.8426,0.63811,0.31248,0.87981,1.99e-06,1.99e-06,1.99e-06
